host_time,esp_timestamp,delta_us
1781708568662249,665426,1781708567996823
1781708568721730,724151,1781708567997579
1781708568827755,835206,1781708567992549
1781708569020118,1023328,1781708567996790
1781708570173641,2175218,1781708567998423
1781708570252614,2256630,1781708567995984
1781708570488599,2489005,1781708567999594
1781708570630881,2632810,1781708567998071
1781708571180656,3188983,1781708567991673
1781708572379962,4384720,1781708567995242
1781708572514795,4522157,1781708567992638
1781708572617967,4621676,1781708567996291
1781708572907691,4910889,1781708567996802
1781708572950674,4958746,1781708567991928
1781708573062894,5065044,1781708567997850
1781708573120949,5122770,1781708567998179
1781708573863574,5869765,1781708567993809
1781708574038242,6039761,1781708567998481
1781708574209898,6212573,1781708567997325
1781708574628727,6630665,1781708567998062
1781708575465487,7463864,1781708568001623
1781708575934733,7937733,1781708567997000
1781708576189375,8194054,1781708567995321
1781708576240495,8244698,1781708567995797
1781708576414549,8414073,1781708568000476
1781708576459049,8440307,1781708568018742
1781708576544213,8549848,1781708567994365
1781708578611026,10615453,1781708567995573
1781708579358389,11360497,1781708567997892
1781708579972525,11976683,1781708567995842
1781708580266474,12262922,1781708568003552
1781708580309343,12276792,1781708568032551
1781708580458845,12458548,1781708568000297
1781708580635824,12630900,1781708568004924
1781708581733835,13735383,1781708567998452
1781708581775177,13753520,1781708568021657
1781708581808480,13765428,1781708568043052
1781708581848834,13814710,1781708568034124
1781708582022367,14022224,1781708568000143
1781708583115806,15124182,1781708567991624
1781708583431199,15431131,1781708568000068
1781708583560594,15559764,1781708568000830
1781708583604737,15592862,1781708568011875
1781708583646331,15593047,1781708568053284
1781708583687900,15593159,1781708568094741
1781708583724329,15593272,1781708568131057
1781708584705507,16708581,1781708567996926
1781708584901544,16898685,1781708568002859
1781708585360792,17363602,1781708567997190
1781708585521044,17524767,1781708567996277
1781708585799977,17806973,1781708567993004
1781708586108009,18114238,1781708567993771
1781708587132469,19138219,1781708567994250
1781708587476551,19480424,1781708567996127
1781708588239318,20241151,1781708567998167
1781708588340757,20344548,1781708567996209
1781708589551399,21550215,1781708568001184
1781708590168075,22164757,1781708568003318
1781708590598667,22602429,1781708567996238
1781708591228901,23234944,1781708567993957
1781708593174028,25179944,1781708567994084
1781708593748076,25746896,1781708568001180
1781708594464355,26466823,1781708567997532
1781708594976207,26983798,1781708567992409
1781708595835959,27843282,1781708567992677
1781708596942987,28950772,1781708567992215
1781708596979783,28984878,1781708567994905
1781708597172359,29174764,1781708567997595
1781708597207102,29209584,1781708567997518
1781708597438768,29438868,1781708567999900
1781708598983629,30983195,1781708568000434
1781708599622120,31622515,1781708567999605
1781708599927120,31926884,1781708568000236
1781708600073652,32082663,1781708567990989
1781708600221022,32222187,1781708567998835
1781708601244958,33246513,1781708567998445
1781708601580767,33590012,1781708567990755
1781708601774631,33781088,1781708567993543
1781708602442938,34451978,1781708567990960
1781708602757611,34759435,1781708567998176
1781708602831519,34834510,1781708567997009
1781708602944329,34947643,1781708567996686
1781708603107749,35113066,1781708567994683
1781708603185923,35189924,1781708567995999
1781708603754447,35754088,1781708568000359
1781708603925419,35931582,1781708567993837
1781708604815205,36820466,1781708567994739
1781708604853933,36824128,1781708568029805
1781708604891242,36834112,1781708568057130
1781708605020583,37029701,1781708567990882
1781708605257727,37265928,1781708567991799
1781708605358484,37365994,1781708567992490
1781708606220496,38224671,1781708567995825
1781708606299030,38301989,1781708567997041
1781708606373399,38376826,1781708567996573
1781708606501967,38505199,1781708567996768
1781708606566669,38575198,1781708567991471
1781708606930283,38937917,1781708567992366
1781708607365660,39365771,1781708567999889
1781708607941759,39950222,1781708567991537
1781708608155031,40164520,1781708567990511
1781708608331323,40338977,1781708567992346
1781708608404231,40403947,1781708568000284
1781708608581617,40580780,1781708568000837
1781708608835194,40841083,1781708567994111
1781708609737432,41742911,1781708567994521
1781708609780149,41778762,1781708568001387
1781708610138443,42143302,1781708567995141
1781708610280060,42289553,1781708567990507
1781708610786716,42793446,1781708567993270
1781708610918871,42914551,1781708568004320
1781708612038291,44043070,1781708567995221
1781708612169689,44170836,1781708567998853
1781708612322605,44322268,1781708568000337
1781708612526401,44533205,1781708567993196
1781708612659099,44662766,1781708567996333
1781708613398926,45400857,1781708567998069
1781708613575058,45584069,1781708567990989
1781708613866768,45871784,1781708567994984
1781708614408806,46411441,1781708567997365
1781708614704185,46709618,1781708567994567
1781708614973119,46977191,1781708567995928
1781708615050166,47057684,1781708567992482
1781708615093040,47087800,1781708568005240
1781708615914618,47915443,1781708567999175
1781708617017437,49025916,1781708567991521
1781708617687350,49692675,1781708567994675
1781708618158691,50166235,1781708567992456
1781708619698684,51704190,1781708567994494
1781708619737121,51704933,1781708568032188
1781708621528569,53534743,1781708567993826
1781708621862756,53868155,1781708567994601
1781708626130259,58134146,1781708567996113
