ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781707114982453,heap,202808,202064,110592,,
1781707114987364,stack,,,,4588,
1781707115985427,heap,202808,202064,110592,,
1781707115989014,stack,,,,4588,
1781707116986141,heap,202584,197268,110592,,
1781707116989667,stack,,,,4108,
1781707117985702,heap,202584,197268,110592,,
1781707117989359,stack,,,,4108,
1781707118985770,heap,202584,197268,110592,,
1781707118989280,stack,,,,4108,
1781707119980136,cpu,,,,,0.600
1781707120985962,heap,202368,197268,110592,,
1781707120989265,stack,,,,4108,
1781707121985850,heap,202368,197268,110592,,
1781707121989277,stack,,,,4108,
1781707122985539,heap,202368,197268,110592,,
1781707122989221,stack,,,,4108,
1781707123985886,heap,202368,197096,110592,,
1781707123989388,stack,,,,4108,
1781707124985590,heap,202368,197096,110592,,
1781707124989390,stack,,,,4108,
1781707125980100,cpu,,,,,1.100
1781707126985766,heap,202368,197096,110592,,
1781707126989306,stack,,,,4108,
1781707127985678,heap,202368,197096,110592,,
1781707127989323,stack,,,,4108,
1781707128985626,heap,202368,197096,110592,,
1781707128989266,stack,,,,4108,
1781707129985758,heap,202368,197096,110592,,
1781707129989163,stack,,,,4108,
1781707130985334,heap,202368,197096,110592,,
1781707130989156,stack,,,,4108,
1781707131979682,cpu,,,,,0.600
1781707132984608,heap,202368,197096,110592,,
1781707132989089,stack,,,,4108,
1781707133985762,heap,202368,197096,110592,,
1781707133989016,stack,,,,4108,
1781707134985075,heap,202368,197096,110592,,
1781707134989105,stack,,,,4108,
1781707135984807,heap,202368,197096,110592,,
1781707135988643,stack,,,,4108,
1781707136985031,heap,202368,197096,110592,,
1781707136988959,stack,,,,4108,
1781707137979371,cpu,,,,,4.600
1781707138985021,heap,202368,197096,110592,,
1781707138988989,stack,,,,4108,
1781707139985140,heap,202368,195876,110592,,
1781707139989082,stack,,,,4108,
1781707140985243,heap,202368,195876,110592,,
1781707140989061,stack,,,,4108,
1781707141984716,heap,202368,195876,110592,,
1781707141988587,stack,,,,4108,
1781707142984992,heap,202368,195876,110592,,
1781707142988681,stack,,,,4108,
1781707143979457,cpu,,,,,2.000
1781707144984393,heap,202368,195876,110592,,
1781707144988243,stack,,,,4108,
1781707145985140,heap,202368,195876,110592,,
1781707145988953,stack,,,,4108,
1781707146984647,heap,202368,195876,110592,,
1781707146988344,stack,,,,4108,
1781707147984984,heap,202368,195876,110592,,
1781707147988777,stack,,,,4108,
1781707148984509,heap,202368,195876,110592,,
1781707148988348,stack,,,,4108,
1781707149979229,cpu,,,,,0.800
1781707150984020,heap,202368,195876,110592,,
1781707150987955,stack,,,,4108,
1781707151984786,heap,202368,195876,110592,,
1781707151988595,stack,,,,4108,
1781707152984844,heap,202368,195876,110592,,
1781707152988508,stack,,,,4108,
1781707153984372,heap,202368,195876,110592,,
1781707153988273,stack,,,,4108,
1781707154984323,heap,202368,195876,110592,,
1781707154988268,stack,,,,4108,
1781707155978874,cpu,,,,,1.000
1781707156985119,heap,202368,195876,110592,,
1781707156988504,stack,,,,4108,
1781707157984838,heap,202368,195876,110592,,
1781707157988505,stack,,,,4108,
1781707158984193,heap,202368,195876,110592,,
1781707158988336,stack,,,,4108,
1781707159984334,heap,202368,195876,110592,,
1781707159988136,stack,,,,4108,
1781707160983843,heap,202368,195876,110592,,
1781707160987811,stack,,,,4108,
1781707161978669,cpu,,,,,0.900
1781707162984539,heap,202368,195876,110592,,
1781707162988251,stack,,,,4108,
1781707163984499,heap,202368,195876,110592,,
1781707163988155,stack,,,,4108,
1781707164984520,heap,202368,195876,110592,,
1781707164988215,stack,,,,4108,
1781707165983648,heap,202368,195876,110592,,
1781707165988103,stack,,,,4108,
1781707166983944,heap,202368,195876,110592,,
1781707166987872,stack,,,,4108,
1781707167978327,cpu,,,,,7.400
1781707168984301,heap,202368,195876,110592,,
1781707168988254,stack,,,,4108,
1781707169983840,heap,202368,195876,110592,,
1781707169987920,stack,,,,4108,
1781707170984004,heap,202368,195876,110592,,
1781707170987987,stack,,,,4108,
1781707171983852,heap,202368,195876,110592,,
1781707171987734,stack,,,,4108,
1781707172983182,heap,202368,195876,110592,,
1781707172987794,stack,,,,4108,
1781707173978603,cpu,,,,,4.500
1781707174983645,heap,202368,195876,110592,,
