host_time,esp_timestamp,delta_us
1781615839890028,38,1781615839889990
1781615841095445,6,1781615841095439
1781615843009904,1807873,1781615841202031
1781615843260229,2058077,1781615841202152
1781615847047847,5846275,1781615841201572
1781615848008814,6807854,1781615841200960
1781615850010085,8807841,1781615841202244
1781615850038950,8838008,1781615841200942
1781615851008577,9807859,1781615841200718
1781615852208942,11007834,1781615841201108
1781615857085397,15883681,1781615841201716
1781615865069930,23868704,1781615841201226
1781615874011460,32807846,1781615841203614
1781615877243517,36039068,1781615841204449
1781615881046284,39842690,1781615841203594
1781615882068149,40867287,1781615841200862
1781615884009772,42807845,1781615841201927
1781615900091500,58889017,1781615841202483
