ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781670004927861,heap,223072,222448,110592,,
1781670004939054,stack,,,,4652,
1781670005929862,heap,218432,217952,110592,,
1781670005933460,stack,,,,4508,
1781670006929837,heap,223020,217148,110592,,
1781670006933205,stack,,,,4508,
1781670007929066,heap,223020,217148,110592,,
1781670007933112,stack,,,,4508,
1781670008928947,heap,223020,217148,110592,,
1781670008933165,stack,,,,4508,
1781670009923936,cpu,,,,,0.200
1781670010930034,heap,222804,217148,110592,,
1781670010933340,stack,,,,4508,
1781670011929527,heap,222804,217148,110592,,
1781670011933274,stack,,,,4508,
1781670012929548,heap,222804,217148,110592,,
1781670012933475,stack,,,,4508,
1781670013930029,heap,222804,217148,110592,,
1781670013933529,stack,,,,4508,
1781670014933869,stack,,,,4508,
1781670015924101,cpu,,,,,0.200
1781670016929394,heap,222804,217148,110592,,
1781670016963158,stack,,,,4508,
1781670017960033,heap,222804,217148,110592,,
1781670017963763,stack,,,,4508,
1781670018959799,heap,222804,217148,110592,,
1781670018963508,stack,,,,4508,
1781670019959828,heap,222804,217148,110592,,
1781670019963570,stack,,,,4508,
1781670020959540,heap,222804,217148,110592,,
1781670020963693,stack,,,,4508,
1781670021954039,cpu,,,,,0.200
1781670022959147,heap,222804,217148,110592,,
1781670022963000,stack,,,,4508,
1781670023959677,heap,222804,217148,110592,,
1781670023963506,stack,,,,4508,
1781670024959876,heap,222804,217148,110592,,
1781670024963549,stack,,,,4508,
1781670025959863,heap,222804,217148,110592,,
1781670025993159,stack,,,,4508,
1781670026989917,heap,222804,217148,110592,,
1781670026993600,stack,,,,4508,
1781670027983309,cpu,,,,,0.200
1781670028989942,heap,222804,217148,110592,,
1781670028993665,stack,,,,4508,
1781670029989891,heap,222804,217148,110592,,
1781670029993622,stack,,,,4508,
1781670030989662,heap,222804,217148,110592,,
1781670030993534,stack,,,,4508,
1781670031989483,heap,222804,217148,110592,,
1781670031993503,stack,,,,4508,
1781670032989730,heap,222804,217148,110592,,
1781670032993748,stack,,,,4508,
1781670033984219,cpu,,,,,0.300
1781670034989501,heap,222804,217148,110592,,
1781670034993744,stack,,,,4508,
1781670035989935,heap,222804,217148,110592,,
1781670035993648,stack,,,,4508,
1781670036989081,heap,222804,217148,110592,,
1781670036993264,stack,,,,4508,
1781670037989509,heap,222804,217148,110592,,
1781670037993684,stack,,,,4508,
1781670038989708,heap,222804,217148,110592,,
1781670038993954,stack,,,,4508,
1781670039984215,cpu,,,,,0.200
1781670040989045,heap,222804,217148,110592,,
1781670040993262,stack,,,,4508,
1781670041989917,heap,222804,217148,110592,,
1781670041993711,stack,,,,4508,
1781670042989309,heap,222804,217148,110592,,
1781670042993008,stack,,,,4508,
1781670043989992,heap,222804,217148,110592,,
1781670043993800,stack,,,,4508,
1781670044989179,heap,222804,217148,110592,,
1781670044993573,stack,,,,4508,
1781670045983635,cpu,,,,,0.200
1781670046989460,heap,222804,217148,110592,,
1781670046993322,stack,,,,4508,
1781670047989317,heap,222804,217148,110592,,
1781670047993253,stack,,,,4508,
1781670048989233,heap,222804,217148,110592,,
1781670048993528,stack,,,,4508,
1781670049989354,heap,222804,217148,110592,,
1781670049993215,stack,,,,4508,
1781670050989064,heap,222804,217148,110592,,
1781670050993173,stack,,,,4508,
1781670051983397,cpu,,,,,0.300
1781670052989764,heap,222804,217148,110592,,
1781670052993810,stack,,,,4508,
1781670053989724,heap,222804,217148,110592,,
1781670053993203,stack,,,,4508,
1781670054989755,heap,222804,217148,110592,,
1781670054993222,stack,,,,4508,
1781670055989204,heap,222804,217148,110592,,
1781670055993246,stack,,,,4508,
1781670056989711,heap,222804,217148,110592,,
1781670056993930,stack,,,,4508,
1781670057983814,cpu,,,,,0.200
1781670058989110,heap,222804,217148,110592,,
1781670058993285,stack,,,,4508,
1781670059988964,heap,222804,217148,110592,,
1781670059992977,stack,,,,4508,
1781670060990249,heap,222804,217148,110592,,
1781670060993831,stack,,,,4508,
1781670061989874,heap,222804,217148,110592,,
1781670061993644,stack,,,,4508,
1781670062990183,heap,222804,217148,110592,,
