host_time,esp_timestamp,delta_us
1781852048152128,3578092,1781852044574036
1781852048158974,3588716,1781852044570258
1781852048163276,3589223,1781852044574053
1781852048171657,3601837,1781852044569820
1781852048175918,3602317,1781852044573601
1781852048183020,3613917,1781852044569103
1781852048190491,3620585,1781852044569906
1781852048195085,3621056,1781852044574029
1781852048202849,3632861,1781852044569988
1781852048208166,3633386,1781852044574780
1781852048213624,3633911,1781852044579713
1781852048217688,3634418,1781852044583270
1781852048224948,3655775,1781852044569173
1781852048232392,3662615,1781852044569777
1781852048240766,3671699,1781852044569067
1781852048248435,3679034,1781852044569401
1781852048256705,3686929,1781852044569776
1781852048264279,3694468,1781852044569811
1781852048270981,3701657,1781852044569324
1781852048277399,3707342,1781852044570057
1781852048284804,3715377,1781852044569427
1781852048292935,3723606,1781852044569329
1781852048303083,3733544,1781852044569539
1781852048314666,3745235,1781852044569431
1781852048324215,3754487,1781852044569728
1781852048334102,3764847,1781852044569255
1781852048350418,3780715,1781852044569703
1781852048356086,3787137,1781852044568949
1781852048363915,3794061,1781852044569854
1781852048373217,3803801,1781852044569416
1781852048382921,3813601,1781852044569320
1781852048397812,3828134,1781852044569678
1781852048403511,3834511,1781852044569000
1781852048413562,3843738,1781852044569824
1781852048422721,3853626,1781852044569095
1781852048432762,3863485,1781852044569277
1781852048445740,3876097,1781852044569643
1781852048453585,3883890,1781852044569695
1781852048463526,3893592,1781852044569934
1781852048472906,3903515,1781852044569391
1781852048483210,3913537,1781852044569673
1781852048492601,3923458,1781852044569143
1781852048508431,3933548,1781852044574883
1781852048512591,3943426,1781852044569165
1781852048523072,3953538,1781852044569534
1781852048532520,3963536,1781852044568984
1781852048546081,3976318,1781852044569763
1781852048553485,3983911,1781852044569574
1781852048563045,3993658,1781852044569387
1781852048573132,4004009,1781852044569123
1781852048583306,4013679,1781852044569627
1781852048592685,4023684,1781852044569001
1781852048603330,4033618,1781852044569712
1781852048612763,4043635,1781852044569128
1781852048623343,4053558,1781852044569785
1781852048632526,4063468,1781852044569058
1781852048643025,4073562,1781852044569463
1781852048653702,4083923,1781852044569779
1781852048662852,4093744,1781852044569108
1781852048672870,4103571,1781852044569299
1781852048682764,4113640,1781852044569124
1781852048692841,4123552,1781852044569289
1781852048702845,4133819,1781852044569026
1781852048712739,4143502,1781852044569237
1781852048723216,4153628,1781852044569588
1781852048733268,4163534,1781852044569734
1781852048742565,4173556,1781852044569009
1781852048752914,4183911,1781852044569003
1781852048763027,4193603,1781852044569424
1781852048773270,4204199,1781852044569071
1781852048783401,4213648,1781852044569753
1781852048792820,4223582,1781852044569238
1781852048803046,4233599,1781852044569447
1781852048813221,4243555,1781852044569666
1781852048822900,4253605,1781852044569295
1781852048832844,4263555,1781852044569289
1781852048842827,4273619,1781852044569208
1781852048854404,4284882,1781852044569522
1781852048863627,4293802,1781852044569825
1781852048872798,4303518,1781852044569280
1781852048882807,4313573,1781852044569234
1781852048892642,4323648,1781852044568994
1781852048903349,4333675,1781852044569674
1781852048912782,4343570,1781852044569212
1781852048922829,4353715,1781852044569114
1781852048932715,4363512,1781852044569203
1781852048942642,4373495,1781852044569147
1781852048957471,4387815,1781852044569656
1781852048963759,4394439,1781852044569320
1781852048973004,4403593,1781852044569411
1781852048983142,4413622,1781852044569520
1781852048993131,4423549,1781852044569582
1781852049003158,4433574,1781852044569584
1781852049013204,4443555,1781852044569649
1781852049029080,4453565,1781852044575515
1781852049033323,4464144,1781852044569179
1781852049042915,4473642,1781852044569273
1781852049053095,4483922,1781852044569173
1781852049063377,4493957,1781852044569420
1781852049073035,4503646,1781852044569389
1781852049083139,4513628,1781852044569511
1781852049092513,4523524,1781852044568989
1781852049103153,4533563,1781852044569590
