ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781850889086519,heap,222192,217344,110592,,
1781850889087691,stack,,,,4124,
1781850890084221,heap,222192,199096,110592,,
1781850891089262,heap,222372,199096,110592,,
1781850891089609,stack,,,,4124,
1781850892090017,heap,222372,199096,110592,,
1781850892090459,stack,,,,4124,
1781850893091971,cpu,,,,,47.500
1781850894098651,heap,222160,199096,110592,,
1781850894099150,stack,,,,4124,
1781850895102572,heap,222160,199096,110592,,
1781850895103350,stack,,,,4124,
1781850896103786,heap,221980,199096,110592,,
1781850897110351,heap,221980,199096,110592,,
1781850897111407,stack,,,,4124,
1781850898111381,heap,222160,199096,110592,,
1781850898112694,stack,,,,4124,
1781850899121544,cpu,,,,,46.800
1781850900118618,heap,222160,199096,110592,,
1781850900118967,stack,,,,4124,
1781850901121412,heap,222160,199096,110592,,
1781850901122401,stack,,,,4124,
1781850902120627,heap,222160,199096,110592,,
1781850902121259,stack,,,,4124,
1781850903120857,heap,222160,199096,110592,,
1781850903121263,stack,,,,4124,
1781850904123972,heap,221980,199096,110592,,
1781850904124279,stack,,,,4124,
1781850905138898,cpu,,,,,51.500
1781850906139849,heap,222160,199096,110592,,
1781850906140118,stack,,,,4124,
1781850907140942,heap,222160,199096,110592,,
1781850907141211,stack,,,,4124,
1781850908144983,heap,221980,199096,110592,,
1781850908146125,stack,,,,4124,
1781850909145503,heap,222160,199096,110592,,
1781850909154281,stack,,,,4124,
1781850910152826,heap,219696,199096,110592,,
1781850910153967,stack,,,,4124,
1781850911153926,cpu,,,,,45.800
1781850912161786,heap,221980,199096,110592,,
1781850912162353,stack,,,,4124,
1781850913161314,heap,222160,199096,110592,,
1781850913161885,stack,,,,4124,
1781850914164265,heap,221980,199096,110592,,
1781850914168909,stack,,,,4124,
1781850915168577,heap,222160,199096,110592,,
1781850915168792,stack,,,,4124,
1781850916171288,heap,222160,199096,110592,,
1781850916172232,stack,,,,4124,
1781850917180272,cpu,,,,,47.400
1781850918180460,heap,222160,199096,110592,,
1781850918181156,stack,,,,4124,
1781850919183489,heap,222160,199096,110592,,
1781850919184618,stack,,,,4124,
1781850920181794,heap,222160,199096,110592,,
1781850920182449,stack,,,,4124,
1781850921192547,stack,,,,4124,
1781850922189496,heap,222160,199096,110592,,
1781850922190342,stack,,,,4124,
1781850923192185,cpu,,,,,48.800
1781850924195435,heap,221980,199096,110592,,
1781850925199918,heap,222160,199096,110592,,
1781850925200744,stack,,,,4124,
1781850926200960,heap,222136,199096,110592,,
1781850926201749,stack,,,,4124,
1781850927201519,heap,222160,199096,110592,,
1781850927202241,stack,,,,4124,
1781850928204308,heap,221980,199096,110592,,
1781850928205194,stack,,,,4124,
1781850929208415,cpu,,,,,46.100
1781850930209668,heap,222160,199096,110592,,
1781850930209954,stack,,,,4124,
1781850931212340,heap,222160,199096,110592,,
1781850931213835,stack,,,,4124,
1781850932214031,heap,221980,199096,110592,,
1781850932217684,stack,,,,4124,
1781850933218475,heap,222160,199096,110592,,
1781850933218772,stack,,,,4124,
1781850934220154,heap,222160,199096,110592,,
1781850934220873,stack,,,,4124,
1781850935228929,cpu,,,,,48.700
1781850936231397,heap,222160,199096,110592,,
1781850937243368,heap,222160,199096,110592,,
1781850937244443,stack,,,,4124,
1781850938240154,heap,222160,199096,110592,,
1781850938240848,stack,,,,4124,
1781850939240687,heap,222160,199096,110592,,
1781850939241060,stack,,,,4124,
1781850940244658,heap,221980,199096,110592,,
1781850942257611,heap,222160,199096,110592,,
1781850942257893,stack,,,,4124,
1781850943260095,heap,222160,199096,110592,,
1781850943261397,stack,,,,4124,
1781850944265512,heap,221980,199096,110592,,
1781850944266532,stack,,,,4124,
1781850945269908,heap,222160,199096,110592,,
1781850946280424,heap,221980,199096,110592,,
1781850946281454,stack,,,,4124,
1781850947282347,cpu,,,,,71.400
