host_timestamp_us,samples_per_second
1781851725576523,115
1781851726583495,108
1781851727585391,109
1781851728587778,103
1781851729594262,106
1781851730597303,100
1781851731619593,113
1781851732621861,110
1781851733622448,101
1781851734632072,105
1781851735641542,100
1781851736642956,106
1781851737644784,103
1781851738652267,101
1781851739652399,100
1781851740662096,109
1781851741662402,102
1781851742664060,105
1781851743664090,103
1781851745119430,94
1781851746125318,67
1781851747217356,15
1781851748221242,151
1781851749228967,140
1781851750229656,133
1781851751234966,144
1781851752235800,140
1781851753237251,117
1781851754246939,101
1781851755252275,102
1781851756253683,110
1781851757253713,100
1781851758255151,103
1781851759265250,106
1781851760274645,102
1781851761282512,105
1781851762292089,105
1781851763293801,102
1781851764294952,100
1781851765304105,101
1781851766304870,100
1781851767306080,102
1781851768314158,104
1781851769317797,102
1781851770321982,102
1781851771331963,103
1781851772341768,103
1781851773360163,103
1781851774361093,102
1781851775361514,105
1781851776366593,110
1781851777373113,101
1781851778381431,104
1781851779384648,101
1781851780393010,102
1781851781401452,101
1781851782407512,100
1781851783411119,104
1781851784411467,100
